datetime,headline,url,teaser,feed_name,feed_url
"July 18, 2017 at 07:18PM",12-year-old boy dies in Long Island boating accident,http://abc7ny.com/news/12-year-old-boy-dies-in-long-island-boating-accident/2230331/,"The incident happened in Northport Harbor at the Centerport Yacht Club around 3 p.m., while the victim was taking a sailing lesson with other students.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 08:00PM",OJ Simpson has good chance at getting parole in Nevada robbery,http://abc7ny.com/news/oj-simpson-has-good-chance-at-getting-parole/2231096/,O.J. Simpson will have a lot going for him when he asks state parole board members on Thursday to release him after serving more than eight years for an ill-fated bid to retrieve sports memorabilia.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 08:03PM",Sources: DiNardo claimed 2 killings in Philadelphia; police investigating,http://abc7ny.com/news/sources-dinardo-claimed-2-killings-in-philadelphia/2231119/,"Sources tell Action News that Cosmo DiNardo, the suspect in the killings of four men in Bucks County, claims to have killed two other people in Philadelphia when he was a juvenile.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 08:17PM",Officials: Australian woman shot after officers heard loud sound,http://abc7ny.com/news/officials-australian-woman-shot-after-officers-heard-loud-sound/2229959/,"An Australian woman who called 911 to report a possible assault was shot and killed by a Minneapolis police officer after the officers heard a loud sound near their squad car, according to information released Tuesday by Minnesota investigators.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 09:19PM",Suspect sought in 4 attempted rapes in Crown Heights in less than 4 hours,http://abc7ny.com/news/suspect-sought-in-4-attempted-rapes-in-less-than-4-hours/2231297/,The first incident happened on last Wednesday just before midnight inside a building near Pacific Street and Nostrand Avenue in Crown Heights.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 09:23PM",Singer Zac Brown visits paralyzed boy in Philadelphia hospital,http://abc7ny.com/news/singer-zac-brown-visits-paralyzed-boy-in-hospital/2231317/,Singer Zac Brown visited a boy who missed the band's latest Philadelphia concert after the boy was paralyzed in a swimming pool accident.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 09:43PM",LIRR riders faced delays yet again during Tuesday evening commute,http://abc7ny.com/news/lirr-riders-hit-with-delays-during-tuesday-night-commute/2231315/,"Thanks to signal trouble east of Jamaica Station, trains were seeing delays of 20 to 30 minutes system wide according to the MTA.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 18, 2017 at 10:35PM","Elderly woman missing in Bath Beach, Brooklyn",http://abc7ny.com/news/elderly-woman-missing-in-bath-beach/2231471/,88-year-old Mary-Joyce Bonsignore was last seen walking out of her brownstone on 19th Avenue in Bath Beach Monday morning.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 05:36AM","Dump truck collides with car, taxi on East Side; several hurt",http://abc7ny.com/news/dump-truck-collides-with-car-taxi-on-east-side;-several-hurt/2232231/,Several people were hurt in two accidents within blocks of each other on Manhattan's East Side.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 06:01AM",Brooklyn community on high alert after attempted sex assault suspect still on the run,http://abc7ny.com/news/community-on-high-alert-after-attempted-sex-assault-suspect-still-on-the-run/2232274/,"The suspect is wanted for four attempted attacks in a period of four hours in Crown Heights. Police say each time, the suspect would follow the victims through their front doors and into their buildings.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 06:20AM",Happy Daiquiri Day! Here's how to make a delicious daiquiri,http://abc7ny.com/food/happy-daiquiri-day-grab-the-rum-and-try-this/1432251/,Celebrate Daiquiri Day in style with this tasty recipe.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 06:55AM",Brooklyn family demands answers after kicked off JetBlue flight,http://abc7ny.com/news/brooklyn-family-demands-answers-after-kicked-off-jetblue-flight/2232379/,"Mandy Ifrah says the trouble started before the plane took off, when her one-year-old daughter kicked the seat in front of her.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 07:09AM",Company issues response after I-Team finds asbestos in makeup,http://abc7ny.com/news/company-responds-after-asbestos-found-in-makeup/2232418/,"A national chain is taking swift action after an I-Team Troubleshooter Investigation. The makeup in question is ""Just Shine Shimmer Powder"" sold at Justice Stores, a clothing store for girls and tweens.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 07:34AM",2 NYPD officers treated for injuries after crash in Far Rockaway,http://abc7ny.com/news/2-nypd-officers-treated-for-injuries-after-queens-crash/2232458/,The accident happened just after 6 a.m. Wednesday at Rockaway Freeway and Beach 38th Street in Far Rockaway.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 08:06AM",Man accused of stealing donations at Port Jefferson church,http://abc7ny.com/news/man-accused-of-stealing-donations-at-long-island-church/2232529/,The man broke open several donation boxes at Infant Jesus Roman Catholic Church in Port Jefferson last week.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 08:38AM",Brooklyn family demands answers after kicked off JetBlue flight,http://abc7ny.com/news/brooklyn-family-demands-answers-after-kicked-off-flight/2232379/,"Mandy Ifrah says the trouble started before the plane took off, when her one-year-old daughter kicked the seat in front of her.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 09:05AM",Brooklyn community on high alert after attempted sex assault suspect still on the run,http://abc7ny.com/news/brooklyn-attempted-sex-assault-suspect-still-on-the-run/2232274/,"The suspect is wanted for four attempted attacks in a period of four hours in Crown Heights. Police say each time, the suspect would follow the victims through their front doors and into their buildings.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 09:06AM","Dump truck collides with car, taxi on East Side; several hurt",http://abc7ny.com/news/dump-truck-collides-with-car-taxi-on-east-side/2232231/,Several people were hurt in two accidents within blocks of each other on Manhattan's East Side.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 09:19AM","NJ Gov Christie catches ball at Mets game, gets booed",http://abc7ny.com/sports/gov-christie-catches-ball-at-mets-game-gets-booed/2232648/,Fans at the Mets-Cardinals game cheered when a man neatly caught a foul ball at Citi Field - until they realized it was Chris Christie.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 09:44AM",MEDICAL MARVELS: NewYork-Presbyterian's Mobile Stroke Treatment Unit Saves Critical Treatment Time,http://abc7ny.com/health/medical-marvels-newyork-presbyterians-mobile-stroke-treatment-unit-saves-critical-treatment-time/2188510/,WABC is taking you inside NewYork-Presbyterian for a look at some extraordinary stories that we call Medical Marvels. It's WABC's Emmy-nominated digital series exclusive to abc7NY.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 09:46AM",Have you seen these missing children?,http://abc7ny.com/society/have-you-seen-these-missing-children/56540/,"See the latest photos of missing children airing on WABC-TV as part of the ""Protect Our Children"" campaign.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 09:50AM",Madonna wins court ruling halting auction of love letter from ex-boyfriend Tupac,http://abc7ny.com/entertainment/madonna-wins-court-ruling-halting-sale-of-tupac-love-letter/2232796/,"An impending auction of pop star Madonna's personal items, including a love letter from her ex-boyfriend the late rapper Tupac Shakur, a pair of previously worn panties and a hairbrush containing her hair, was halted by a judge on Tuesday.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 09:53AM",President Trump making last-ditch effort after health bill collapse,http://abc7ny.com/politics/trump-making-last-ditch-effort-after-health-bill-collapse/2232817/,"President Donald Trump says it's probably time to ""just let Obamacare fail"" after the latest humiliating heath bill collapse in the Senate.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 09:54AM",Immigrant in New York City being deported due to decades-old conviction,http://abc7ny.com/news/immigrant-in-nyc-being-deported-due-to-decades-old-conviction/2228240/,"The federal government has been trying to deport Jose Molina back to his native Panama, from which he arrived as a toddler nearly 40 years ago, because he committed a crime when he was 18.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 10:07AM",Shooting victim escapes moving U-Haul van on I-95 in Mamaroneck,http://abc7ny.com/news/shooting-victim-escapes-moving-u-haul-van-on-i-95/2232848/,Authorities say 24-year-old Mouhamed Cisse rolled out of a white U-Haul van that was travelling northbound on the highway before being struck by a passing car. Police say he had sustained multiple gunshot wounds.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 10:26AM",ACCUWEATHER: Stormy weather ends heat wave,http://abc7ny.com/weather/accuweather-/2232881/,The heat is on! Temperatures in the Tri-State area are set to soar above 90 degrees Wednesday.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 10:28AM",PHOTOS: The rise and fall of O.J. Simpson,http://abc7ny.com/news/photos-the-rise-and-fall-of-oj-simpson/2230015/,See photos of O.J. Simpson from when he was a football star to being on trial for a double homicide to his current incarceration.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 10:32AM",ACCUWEATHER: Heat advisory in effect through Thursday,http://abc7ny.com/weather/accuweather-heat-advisory-in-effect-through-thursday/2232881/,The heat is on! Temperatures in the Tri-State area are set to soar above 90 degrees Wednesday.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 10:40AM",Saudi Arabian woman arrested for wearing miniskirt released,http://abc7ny.com/news/saudi-woman-arrested-for-wearing-miniskirt-released-without-charge/2232919/,"Police in Saudi Arabia had arrested the young woman for wearing ""immodest clothes"" after an outcry from people who say she flagrantly violated the kingdom's conservative Islamic dress code.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 10:55AM",Can you beat the clock? NYC chef sets timer on customers,http://abc7ny.com/food/nyc-chef-countdowns-his-customers-as-they-eat/2226226/,"How quickly can you eat a meal? A New York City sushi chef is giving his customers 30 minutes and yes, there's a clock, counting you down.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 11:05AM",Can you beat the clock? NYC chef sets timer on customers,http://abc7ny.com/food/nyc-chef-counts-down-his-customers-as-they-eat/2226226/,"How quickly can you eat a meal? A New York City sushi chef is giving his customers 30 minutes and yes, there's a clock, counting you down.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 11:07AM",Brooklyn family demands answers after kicked off JetBlue flight,http://abc7ny.com/news/family-demands-answers-after-kicked-off-jetblue-flight/2232379/,"Mandy Ifrah says the trouble started before the plane took off, when her 1-year-old daughter kicked the seat in front of her.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 11:09AM","Foul! Gov. Chris Christie catches ball at Mets game, gets booed",http://abc7ny.com/sports/foul-christie-catches-ball-at-mets-game-gets-booed/2232648/,Fans at the Mets-Cardinals game cheered when a man neatly caught a foul ball at Citi Field - until they realized it was Chris Christie.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 11:14AM",Helicopter makes emergency landing in waters off Gilgo Beach,http://abc7ny.com/news/helicopter-makes-emergency-landing-in-waters-off-gilgo-beach/2233003/,The helicopter landed on its pontoon skids for a water landing just before 10:30 Wednesday morning.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 11:14AM",Couple documents joint weight loss exceeding 100 pounds,http://abc7ny.com/health/couple-documents-joint-weight-loss-exceeding-100-pounds/2233009/,"A couple that made the decision to lose weight together is documenting their journey, and they've lost more than 100 pounds combined.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 11:28AM",Horror movie nightmare: Thousands of roaches invade Philadelphia neighborhood,http://abc7ny.com/news/thousands-of-roaches-pour-out-of-manhole-invade-neighborhood/2233052/,The Philadelphia Water Department is hoping they've stopped thousands of cockroaches from climbing out of a manhole in Bridesburg.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 11:31AM","Bride-to-be gets wrong dress, finds and returns it to correct bride",http://abc7ny.com/society/bride-to-be-gets-wrong-dress-finds-correct-owner/2233063/,"A California woman received a wedding dress in the mail that wasn't hers, so the bride-to-be reached out to Eyewitness News and found its rightful owner.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 11:35AM",Helicopter with 2 people aboard crashes in waters off Gilgo Beach,http://abc7ny.com/news/helicopter-crashes-in-waters-off-gilgo-beach/2233003/,The helicopter landed on its pontoon skids for a water landing just before 10:30 Wednesday morning.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 11:42AM",Can you beat the clock? New York City sushi chef sets timer on customers,http://abc7ny.com/food/on-the-clock-sushi-chef-counts-down-customers-as-they-eat/2226226/,"How quickly can you eat a meal? One sushi chef is giving his customers 30 minutes to down 12 pieces of sushi, and yes, there's a clock, counting you down.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 12:01PM",Mickey helps parents surprise kids with adoption news,http://abc7ny.com/family/mickey-surprises-kids-with-adoption-news/2233128/,Mickey surprised these kids with special news- they're being adopted! 12-year-old Janielle and 10-year-old Elijah are officially part of the Gilmour family.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 12:18PM",Despacito' sets record for most streamed song of all time,http://abc7ny.com/entertainment/despacito-sets-record-for-most-streamed-song-of-all-time/2233189/,"""Despacito"" has become the most streamed track of all time with more than 4.6 billion plays across streaming platforms.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 12:47PM",Helicopter makes crash landing in waters off Gilgo Beach; 2 people rescued,http://abc7ny.com/news/helicopter-makes-crash-landing-in-waters-off-gilgo-beach/2233003/,The helicopter landed on its pontoon skids for a water landing just before 10:30 Wednesday morning.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 01:08PM",Shrinking attention spans creates market for gif movie trailers,http://abc7ny.com/entertainment/shrinking-attention-spans-creates-market-for-gif-movie-trailers/2233357/,"For decades, movie studios have used trailers to try to bring people in to the theater. But in today's climate of near-nonstop smartphone use, trailers have had to adapt and become much, much shorter.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 01:31PM",Small plane lands on Sunrise Highway in Yaphank,http://abc7ny.com/news/small-plane-lands-on-sunrise-highway-in-yaphank/2233378/,"The Cessna, registered to a Northport man, touched down on Sunrise Highway in Yaphank near exit 57S around 1 p.m.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 01:28PM",Eyewitness News Update,http://abc7ny.com/news/eyewitness-news-update/2233422/,Watch Wednesday's Eyewitness News update.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 01:31PM",Helicopter carrying Shane McMahon crash lands off Gilgo Beach,http://abc7ny.com/news/helicopter-carrying-shane-mcmahon-crash-lands-off-li-beach/2233003/,A small helicopter carrying the son of WWE chairman and CEO Vince McMahon made a crash landing in the waters off of Gilgo Beach Wednesday morning.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 01:41PM",Golden Retriever gives birth to rare green puppy,http://abc7ny.com/pets/golden-retriever-gives-birth-to-rare-green-puppy/2233361/,"When a Golden Retriever named Rio gave birth to a littler of nine puppies, owner Louise Sutherland was shocked to find she gave birth to a rare green puppy.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 02:10PM",At least a dozen arrested in Long Island MS-13 gang killings,http://abc7ny.com/news/at-least-a-dozen-arrested-in-li-ms-13-gang-killings/2233512/,At least a dozen alleged members of the MS-13 street gang have been arrested on murder charges following a spate of bloodshed that included the massacre of four young men in a Long Island park last April.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 02:27PM",17 arrested in MS-13 gang killings on Long Island,http://abc7ny.com/news/17-arrested-in-ms-13-gang-killings-on-long-island/2233512/,Seventeen alleged members of the MS-13 street gang have been arrested on murder charges following a spate of bloodshed that included the massacre of four young men in a Long Island park last April.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 02:33PM",Helicopter carrying Shane McMahon makes emergency landing off Gilgo Beach,http://abc7ny.com/news/helicopter-carrying-shane-mcmahon-makes-emergency-landing/2233003/,A small helicopter carrying the son of WWE chairman and CEO Vince McMahon made an emergency landing in the waters off of Gilgo Beach Wednesday morning.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 03:00PM",Bodies of couple missing since 1942 found frozen in Swiss glacier,http://abc7ny.com/weather/bodies-of-couple-missing-since-1942-found-in-swiss-glacier-/2233567/,The bodies of a couple who have been missing since August 1942 were discovered frozen inside a glacier in Switzerland.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 03:02PM",Bodies of couple missing since 1942 found frozen in Swiss glacier,http://abc7ny.com/weather/bodies-of-couple-missing-since-1942-found-in-swiss-glacier/2233567/,The bodies of a couple who have been missing since August 1942 were discovered frozen inside a glacier in Switzerland.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 03:08PM","New Jersey doctor, 17 others arrested in alleged oxycodone ring",http://abc7ny.com/news/nj-doctor-17-others-arrested-in-alleged-oxycodone-ring/2233677/,"Authorities say Dr. Craig Gialanella, 53, sold prescriptions for cash to the ring of drug dealers in Atlantic County, writing fraudulent prescriptions for individuals who had no legitimate medical need.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 03:37PM",Massapequa parents and students upset over middle school back and forth,http://abc7ny.com/education/massapequa-parents-upset-over-middle-school-back-and-forth/2233731/,The decision affects about 550 upcoming 6th graders who thought for the past year they would be going to Berner Middle School with the 7th and 8th graders this fall.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 04:04PM",Video: Suspects in robbery spree attack woman in Queens,http://abc7ny.com/news/video-suspects-in-robbery-spree-attack-woman-in-queens/2233824/,"Disturbing video captured a group of robbers attacking a woman in Queens, and authorities believe the suspects are responsible for string of incidents throughout the borough.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 04:13PM",New Jersey Transit weighs disciplinary action over canceled trains,http://abc7ny.com/traffic/nj-transit-weighs-disciplinary-action-over-canceled-trains/2233849/,A top New Jersey Transit official tells state lawmakers the agency is considering possible disciplinary action after dozens of trains had to be canceled this week because of a manpower shortage.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 04:26PM",Exclusive: Pilot speaks out after Sunrise Highway emergency plane landing,http://abc7ny.com/news/exclusive-pilot-speaks-out-after-sunrise-highway-landing/2233378/,"The Cessna, registered to a Northport man, touched down on Sunrise Highway in Yaphank near exit 57S around 1 p.m.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 04:32PM",Shrinking attention spans create market for gif movie trailers,http://abc7ny.com/entertainment/shrinking-attention-spans-create-market-for-gif-movie-trailers/2233357/,"For decades, movie studios have used trailers to try to bring people in to the theater. But in today's climate of near-nonstop smartphone use, trailers have had to adapt and become much, much shorter.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 04:50PM",Suspect in 4 attempted rapes in 4 hours in Brooklyn still on the run,http://abc7ny.com/news/suspect-in-4-attempted-rapes-in-4-hours-still-on-the-run/2232274/,"The suspect is wanted for four attacks over a period of four hours in Crown Heights. Police say each time, he followed his victim through their front doors and into their buildings.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 05:17PM","VIDEO: Machete pulled, swung during street corner dispute on Upper West Side",http://abc7ny.com/news/video-machete-pulled-swung-during-uws-dispute/2234017/,"Police identified the driver of the car as 40-year-old Lewis Roman, of the Bronx. The other man was apparently standing at the corner when something sparked the argument.",abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 06:12PM",7 On Your Side: How to avoid your own moving mess,http://abc7ny.com/news/7-on-your-side-how-to-avoid-your-own-moving-mess/2234165/,July is the middle of the high season for moves. But a group of people in New Jersey are stuck and steaming and waiting for their goods. Here's how to avoid your own moving nightmare.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 06:34PM",Bride wears four generations of wedding dresses for special photo shoot,http://abc7ny.com/family/bride-wears-four-generations-of-wedding-dresses-for-photo-shoot/2234116/,Colleen Dejno had a special photo shoot a few weeks before her wedding using four generations of family wedding dresses.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 07:04PM",Baby dies in hot car during mother's 6-hour hair appointment,http://abc7ny.com/news/baby-dies-in-hot-car-during-mothers-6-hour-hair-appointment/2234418/,Police near Atlanta have charged a mother with felony murder after they said she left her 1-year-old daughter in a hot car while she got her hair done at a salon - for six hours.,abc7ny.com RSS Feed,http://abc7ny.com/feed
"July 19, 2017 at 08:14PM",Sen. John McCain diagnosed with brain tumor,http://abc7ny.com/politics/sen-john-mccain-diagnosed-with-brain-tumor/2234614/,A recent surgery to remove a blood clot revealed that the senator from Arizona has a primary brain tumor known as a glioblastoma.,abc7ny.com RSS Feed,http://abc7ny.com/feed
